mode,step,epoch,metrics
train,step=2100,epoch=68,loss=0.461182 loss_rec=0.450586 loss_eq=0.211918 acc/pixel_acc=0.869701 acc/mean_pixel_acc=0.744707 acc/iou=0.649094
val,step=2108,epoch=68,loss=0.568447 loss_rec=0.568447 loss_eq=0.000000 acc/pixel_acc=0.815281 acc/mean_pixel_acc=0.670423 acc/iou=0.536919 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.670423 best_acc/iou=0.537722
val,step=2139,epoch=69,loss=0.576155 loss_rec=0.576155 loss_eq=0.000000 acc/pixel_acc=0.812537 acc/mean_pixel_acc=0.659489 acc/iou=0.543153 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.670423 best_acc/iou=0.543153
val,step=2170,epoch=70,loss=0.529518 loss_rec=0.529518 loss_eq=0.000000 acc/pixel_acc=0.825987 acc/mean_pixel_acc=0.665181 acc/iou=0.552881 best_acc/pixel_acc=0.825987 best_acc/mean_pixel_acc=0.670423 best_acc/iou=0.552881
train,step=2200,epoch=71,loss=0.435430 loss_rec=0.422888 loss_eq=0.250822 acc/pixel_acc=0.875939 acc/mean_pixel_acc=0.761626 acc/iou=0.666335
val,step=2201,epoch=71,loss=0.556805 loss_rec=0.556805 loss_eq=0.000000 acc/pixel_acc=0.820820 acc/mean_pixel_acc=0.667086 acc/iou=0.555599 best_acc/pixel_acc=0.825987 best_acc/mean_pixel_acc=0.670423 best_acc/iou=0.555599
val,step=2232,epoch=72,loss=0.537347 loss_rec=0.537347 loss_eq=0.000000 acc/pixel_acc=0.820271 acc/mean_pixel_acc=0.666479 acc/iou=0.548008 best_acc/pixel_acc=0.825987 best_acc/mean_pixel_acc=0.670423 best_acc/iou=0.555599
val,step=2263,epoch=73,loss=0.536349 loss_rec=0.536349 loss_eq=0.000000 acc/pixel_acc=0.828718 acc/mean_pixel_acc=0.664769 acc/iou=0.560445 best_acc/pixel_acc=0.828718 best_acc/mean_pixel_acc=0.670423 best_acc/iou=0.560445
val,step=2294,epoch=74,loss=0.536192 loss_rec=0.536192 loss_eq=0.000000 acc/pixel_acc=0.827208 acc/mean_pixel_acc=0.672262 acc/iou=0.563930 best_acc/pixel_acc=0.828718 best_acc/mean_pixel_acc=0.672262 best_acc/iou=0.563930
train,step=2300,epoch=75,loss=0.381172 loss_rec=0.369904 loss_eq=0.225352 acc/pixel_acc=0.883081 acc/mean_pixel_acc=0.766878 acc/iou=0.677363
val,step=2325,epoch=75,loss=0.524419 loss_rec=0.524419 loss_eq=0.000000 acc/pixel_acc=0.829844 acc/mean_pixel_acc=0.671810 acc/iou=0.563198 best_acc/pixel_acc=0.829844 best_acc/mean_pixel_acc=0.672262 best_acc/iou=0.563930
val,step=2356,epoch=76,loss=0.583049 loss_rec=0.583049 loss_eq=0.000000 acc/pixel_acc=0.817961 acc/mean_pixel_acc=0.671766 acc/iou=0.550611 best_acc/pixel_acc=0.829844 best_acc/mean_pixel_acc=0.672262 best_acc/iou=0.563930
val,step=2387,epoch=77,loss=0.571444 loss_rec=0.571444 loss_eq=0.000000 acc/pixel_acc=0.817734 acc/mean_pixel_acc=0.650400 acc/iou=0.544993 best_acc/pixel_acc=0.829844 best_acc/mean_pixel_acc=0.672262 best_acc/iou=0.563930
train,step=2400,epoch=78,loss=0.370903 loss_rec=0.359179 loss_eq=0.234475 acc/pixel_acc=0.875475 acc/mean_pixel_acc=0.752585 acc/iou=0.656153
val,step=2418,epoch=78,loss=0.584865 loss_rec=0.584865 loss_eq=0.000000 acc/pixel_acc=0.817750 acc/mean_pixel_acc=0.668857 acc/iou=0.552192 best_acc/pixel_acc=0.829844 best_acc/mean_pixel_acc=0.672262 best_acc/iou=0.563930
val,step=2449,epoch=79,loss=0.528823 loss_rec=0.528823 loss_eq=0.000000 acc/pixel_acc=0.821308 acc/mean_pixel_acc=0.653898 acc/iou=0.543440 best_acc/pixel_acc=0.829844 best_acc/mean_pixel_acc=0.672262 best_acc/iou=0.563930
val,step=2480,epoch=80,loss=0.535334 loss_rec=0.535334 loss_eq=0.000000 acc/pixel_acc=0.821445 acc/mean_pixel_acc=0.638185 acc/iou=0.533450 best_acc/pixel_acc=0.829844 best_acc/mean_pixel_acc=0.672262 best_acc/iou=0.563930
train,step=2500,epoch=81,loss=0.374963 loss_rec=0.363237 loss_eq=0.234506 acc/pixel_acc=0.883091 acc/mean_pixel_acc=0.771300 acc/iou=0.677974
val,step=2511,epoch=81,loss=0.482836 loss_rec=0.482836 loss_eq=0.000000 acc/pixel_acc=0.828661 acc/mean_pixel_acc=0.682496 acc/iou=0.570482 best_acc/pixel_acc=0.829844 best_acc/mean_pixel_acc=0.682496 best_acc/iou=0.570482
val,step=2542,epoch=82,loss=0.493876 loss_rec=0.493876 loss_eq=0.000000 acc/pixel_acc=0.830199 acc/mean_pixel_acc=0.675536 acc/iou=0.573882 best_acc/pixel_acc=0.830199 best_acc/mean_pixel_acc=0.682496 best_acc/iou=0.573882
